,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz
30,-200,100,100,8000.0,-130.41,41.92941176470588,39.619565217391305,0.854991388349515,0.43232870773195853,0.45338580102564086,-0.03879194630872484,-0.019664429530201342,9.818523489932886,-0.004899328859060403,0.004429530201342283,-0.023825503355704696
31,-200,200,100,8000.0,-137.43,142.02,57.57831325301205,0.7741089717073176,0.665530103448276,0.27932324627659627,-0.022635135135135133,-0.043378378378378386,9.79891891891892,0.0010810810810810809,0.0012162162162162155,0.04027027027027026
32,-200,300,100,8000.0,-122.60204081632654,232.74,59.043956043956044,0.7299483931034484,0.7786843707070712,0.24379301587301622,0.04482993197278912,0.09129251700680271,9.750748299319728,0.004965986394557823,-6.802721088435362e-05,0.10891156462585033
33,-300,100,100,8000.0,-226.46938775510205,38.69072164948454,33.593023255813954,0.8531468780748669,0.4414114956989244,0.45128194055555554,-0.04810810810810811,-0.04452702702702702,9.745878378378377,-0.00445945945945946,-6.756756756756762e-05,-0.09074324324324323
34,-300,200,100,8000.0,-216.85263157894738,137.57142857142858,50.096385542168676,0.7851882909574477,0.6490387051136364,0.3045795445086707,0.005135135135135124,0.0647972972972973,9.798918918918918,-0.0005405405405405409,0.00047297297297297313,-0.021756756756756757
35,-300,300,100,8000.0,-226.26,230.85,54.0,0.8325274754285715,0.7425150898203597,0.261028595652174,-0.040344827586206895,0.004965517241379307,9.768,0.0031724137931034486,0.0015862068965517247,0.04413793103448276
36,-100,100,200,8000.0,-24.545454545454547,63.20454545454545,121.23,0.8904655291262147,0.2818010248780498,0.9660195291262146,-0.05687074829931973,-0.04965986394557824,9.765034013605442,0.0054421768707483,-0.0013605442176870745,0.09394557823129251
37,-100,200,200,8000.0,-29.27710843373494,143.64,145.8,0.7232731874316943,0.5330784718232046,0.4930966789743585,-0.03081632653061224,-0.02945578231292517,9.80469387755102,0.007414965986394557,0.0006802721088435378,0.1630612244897959
38,-100,300,200,8000.0,-37.91489361702128,244.62,166.32,0.6911876796116507,0.7978592330097088,0.32088595145631127,-0.019863945578231294,-0.02993197278911565,9.823673469387755,0.010068027210884354,0.0006802721088435377,0.23448979591836733
39,-200,100,200,8000.0,-122.04,61.53488372093023,134.46,0.7172020757281556,0.23187780702702734,0.6488675271844659,-0.05047619047619047,-0.08897959183673468,9.81938775510204,0.0012925170068027211,0.0014965986394557826,0.03238095238095238
40,-200,200,200,8000.0,-121.32467532467533,134.69662921348313,127.45588235294117,0.7641749809859156,0.5259876168918919,0.493589759285714,0.008724832214765112,-0.04288590604026845,9.789932885906042,0.005302013422818792,0.0009395973154362415,0.09221476510067113
41,-200,300,200,8000.0,-127.36363636363636,229.23,146.88,0.7664505253012052,0.6485509646739126,0.3295400502958583,-0.03355704697986577,-0.004161073825503368,9.844026845637583,0.008859060402684565,-0.008120805369127517,0.15751677852348991
42,-300,100,200,8000.0,-199.8,48.68181818181818,108.0,0.7918902193798449,0.2545929622047243,0.6368473511111108,-0.020340136054421764,-0.08639455782312924,9.869115646258503,-0.001700680272108844,0.0013605442176870745,-0.024013605442176872
43,-300,200,200,8000.0,-193.36764705882354,124.97142857142858,124.04347826086956,0.7844827948275861,0.4825772247863247,0.4681188522123891,-0.13214765100671141,-0.06657718120805368,9.915637583892618,-0.00033557046979865754,-0.00013422818791946172,0.02899328859060403
44,-300,300,200,8000.0,-208.1123595505618,215.0,129.18987341772151,0.7791810462686567,0.6266372985611508,0.33540705735294135,-0.03641891891891891,-0.015202702702702691,9.858378378378378,0.004797297297297297,-0.012364864864864862,0.09506756756756757
45,-100,100,300,8000.0,-31.9390243902439,59.744680851063826,201.5257731958763,0.6084633276073619,0.1511646222222221,0.803158209756098,0.06020689655172414,-0.025517241379310333,9.824206896551726,0.011241379310344829,0.002482758620689655,0.1510344827586207
46,-100,200,300,8000.0,-22.581818181818182,144.0,214.74418604651163,0.6517950426666665,0.31766361875000027,0.6658897909090907,-0.054999999999999986,-0.06458333333333334,9.823819444444446,0.015000000000000001,-0.002777777777777777,0.1976388888888889
47,-100,300,300,8000.0,-33.13636363636363,251.37,257.85,0.6551726315270937,0.559870704368932,0.5385861072815536,0.05741496598639457,0.006054421768707482,9.799999999999999,0.013809523809523811,0.0019047619047619045,0.2963945578231293
48,-200,100,300,7906.09,-140.94,67.5,243.81,0.7613124215686278,0.17713222704081652,0.830112645320197,-0.06840277777777778,-0.12402777777777778,9.769513888888888,0.003888888888888889,0.002083333333333333,0.09590277777777778
49,-200,200,300,8000.0,-134.73,159.24489795918367,241.11,0.768184266326531,0.29763397458563606,0.6875983030612247,0.08243243243243242,0.027972972972972972,9.809864864864863,0.011554054054054054,0.007094594594594595,0.1562837837837838
50,-200,300,300,8000.0,-135.81,250.56,251.1,0.7537964966019427,0.5246452781553397,0.5292861088235293,-0.028493150684931513,-0.08445205479452053,9.75678082191781,0.01089041095890411,0.0029452054794520542,0.2310273972602739
51,-300,100,300,7743.84,-234.09,63.45,233.82,0.8646798120418858,0.18646706166666663,0.811214588461539,-0.06090277777777778,0.050694444444444445,9.87625,0.0044444444444444444,0.0016666666666666666,0.03652777777777778
52,-300,200,300,7606.86,-239.49,163.35,245.16,0.857179525000001,0.33147310466321284,0.7093585228426398,-0.016043165467625894,-0.04223021582733814,9.783453237410072,0.008776978417266185,-0.004388489208633093,0.09705035971223021
53,-300,300,300,7283.71,-239.8846153846154,254.61,254.61,0.8198123120218583,0.5595694033149171,0.5306828426966289,-0.007559055118110229,-0.04590551181102362,9.738582677165354,0.014094488188976378,-0.00039370078740157496,0.1658267716535433
54,100,-100,100,8000.0,38.96907216494845,-33.333333333333336,41.58,0.5000000257281554,0.7296851248756221,0.5046054320388347,-0.05416107382550336,-0.024228187919463087,9.788255033557046,0.007857142857142858,0.004228187919463088,0.03516778523489933
55,100,-200,100,8000.0,50.275862068965516,-136.89,42.84782608695652,0.43552386407766985,0.7509337475728158,0.42681088349514557,-0.059664429530201346,0.03234899328859061,9.812147651006713,-0.002147651006711409,-0.004362416107382549,-0.026845637583892617
