,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz
23,200,300,300,8000.0,176.05102040816325,271.6530612244898,269.1734693877551,0.15236673557692326,0.34800273221153893,0.3470165062500004,-0.40330985915492956,-0.1776760563380282,10.555211267605634,-0.029718309859154923,-0.014647887323943662,0.4554929577464789
24,300,100,300,8000.0,271.3775510204082,71.63265306122449,271.1020408163265,0.3378942769230774,0.13758910206185565,0.344551068269231,-0.39521126760563385,-0.21732394366197186,10.570985915492956,-0.023732394366197184,-0.015211267605633804,0.38598591549295774
25,300,200,300,8000.0,272.2040816326531,176.87755102040816,267.7959183673469,0.3015331955882359,0.1508145783251233,0.352440645192308,-0.4000704225352113,-0.21464788732394366,10.55549295774648,-0.029929577464788727,-0.015,0.4553521126760563
26,300,300,300,8000.0,273.3061224489796,278.265306122449,269.7244897959184,0.24802979853658597,0.24495871747572862,0.254799740096619,-0.4221126760563381,-0.18971830985915497,10.56161971830986,-0.03408450704225352,-0.016197183098591552,0.530774647887324
27,-100,100,100,8000.0,-42.42857142857143,55.43617021276596,55.10204081632653,0.4567306634615387,0.31491135436893253,0.34750961586538504,-0.00619718309859155,-0.1545774647887324,10.68492957746479,0.0037323943661971832,-0.01091549295774648,0.030985915492957743
28,-100,200,100,8000.0,-45.69230769230769,146.57142857142858,63.642857142857146,0.3876708502590672,0.4237515489473681,0.19258928406593423,-0.0016197183098591564,-0.15309859154929578,10.619788732394365,0.0011971830985915493,-0.011760563380281691,0.09915492957746477
29,-100,300,100,8000.0,-53.4,265.0408163265306,66.6734693877551,0.3563853519230771,0.4469920437499999,0.16826907836538485,0.023591549295774648,-0.15035211267605636,10.574647887323943,-0.0014084507042253518,-0.01119718309859155,0.17140845070422533
30,-200,100,100,8000.0,-150.9795918367347,59.4,59.234693877551024,0.48465518652849754,0.30876600628272316,0.28554143141361304,-0.07535211267605635,-0.1717605633802817,10.565281690140846,0.005211267605633803,-0.008873239436619718,-0.03471830985915493
31,-200,200,100,8000.0,-157.31632653061226,159.5204081632653,62.526315789473685,0.43615502110552745,0.39570985144230775,0.22234958009950287,-0.042464788732394364,-0.14528169014084508,10.573098591549297,0.004225352112676057,-0.011056338028169015,0.032957746478873236
32,-200,300,100,8000.0,-157.31632653061226,266.96938775510205,65.0204081632653,0.4018735581730772,0.4301033653846154,0.19607074676616942,-0.02570422535211268,-0.14788732394366197,10.569577464788733,0.0009859154929577466,-0.01204225352112676,0.10464788732394366
33,-300,100,100,8000.0,-260.35714285714283,62.15625,57.0,0.5392012451923076,0.2640529927884621,0.3157048620192313,0.17570422535211266,-0.2030281690140845,10.624788732394366,0.006126760563380282,-0.009577464788732394,-0.10330985915492956
34,-300,200,100,8000.0,-262.01020408163265,162.55102040816325,59.234693877551024,0.47660585618556706,0.3384870311557791,0.2560093692708338,0.19661971830985914,-0.17619718309859156,10.583309859154928,0.0060563380281690145,-0.010985915492957746,-0.03767605633802817
35,-300,300,100,8000.0,-262.2857142857143,263.11224489795916,63.642857142857146,0.4720167403846155,0.37488928128078874,0.21646674572864363,0.19823943661971832,-0.14535211267605636,10.580774647887322,0.0036619718309859155,-0.013169014084507043,0.03852112676056337
36,-100,100,200,8000.0,-47.48275862068966,66.39795918367346,143.90721649484536,0.43446556345177656,0.1519838212290504,0.4815541173469387,0.20359154929577464,-0.13795774647887324,10.579295774647887,0.004225352112676057,-0.011901408450704224,0.09753521126760563
37,-100,200,200,8000.0,-42.06315789473684,165.03061224489795,156.21428571428572,0.4276754201086959,0.3134820032258071,0.34140288984771605,0.2111971830985915,-0.12211267605633801,10.569225352112676,0.003169014084507042,-0.012253521126760565,0.1707746478873239
38,-100,300,200,8000.0,-49.064516129032256,264.2142857142857,170.81632653061226,0.37229738235294113,0.443293760096154,0.2371792682692312,0.21154929577464787,-0.1404225352112676,10.59443661971831,0.0011267605633802818,-0.00971830985915493,0.21985915492957744
39,-200,100,200,8000.0,-150.9795918367347,65.84693877551021,150.42857142857142,0.4870549902912622,0.17253995714285725,0.42504915384615405,0.19380281690140846,-0.14401408450704228,10.571126760563383,0.00528169014084507,-0.012535211267605635,0.03549295774647887
40,-200,200,200,8000.0,-152.90816326530611,168.6122448979592,163.92857142857142,0.45981124352331565,0.29241372797927534,0.3119440763819102,0.20239436619718304,-0.12274647887323943,10.567112676056338,0.0046478873239436625,-0.013380281690140845,0.10063380281690139
41,-200,300,200,8000.0,-150.3,268.8979591836735,165.3,0.44637262195121946,0.3702684250000003,0.26622323209876575,0.22521126760563379,-0.1256338028169014,10.552887323943663,0.0033802816901408453,-0.012746478873239438,0.1708450704225352
42,-300,100,200,8000.0,-258.1530612244898,65.03225806451613,156.48979591836735,0.4948107142857142,0.18461521212121215,0.3696710073619635,0.1383941605839416,-0.1467153284671533,10.568613138686132,0.005912408759124088,-0.010948905109489052,-0.030583941605839413
43,-300,200,200,8000.0,-262.83673469387753,165.58163265306123,164.20408163265307,0.49605520192307695,0.2761338927884621,0.3233478855769236,0.17112676056338025,-0.15183098591549296,10.573661971830987,0.005140845070422535,-0.012887323943661972,0.036408450704225354
44,-300,300,200,7041.3,-260.35714285714283,269.1734693877551,165.375,0.46654518934911277,0.36583164302325594,0.265440855974843,0.2746456692913386,-0.10307086614173228,10.587874015748032,0.004881889763779528,-0.01401574803149606,0.10086614173228345
45,-100,100,300,8000.0,-46.77906976744186,64.46938775510205,250.4387755102041,0.38349423606557387,0.15412173172043014,0.4760311472826084,0.3628873239436619,-0.14598591549295775,10.57281690140845,0.00823943661971831,-0.01415492957746479,0.17161971830985914
46,-100,200,300,8000.0,-50.5531914893617,171.64285714285714,261.18367346938777,0.383936836507937,0.23566531005025165,0.45195534848484853,0.3616901408450704,-0.11647887323943662,10.58338028169014,0.008309859154929579,-0.013028169014084507,0.23746478873239435
47,-100,300,300,8000.0,-46.2,269.1734693877551,265.0408163265306,0.3820931377049177,0.3327989973958338,0.32581342740384617,0.418169014084507,-0.12711267605633803,10.576267605633802,0.009295774647887325,-0.014577464788732394,0.30098591549295783
48,-200,100,300,8000.0,-153.18367346938774,66.94897959183673,261.18367346938777,0.45820994711538443,0.17483644411764715,0.475591653846154,0.36092857142857143,-0.15792857142857145,10.652571428571425,0.007714285714285715,-0.013428571428571429,0.0979285714285714
49,-200,200,300,8000.0,-152.90816326530611,173.8469387755102,262.83673469387753,0.4559098048780489,0.233516290306123,0.4264051836538461,0.34773049645390064,-0.12148936170212768,10.570780141843972,0.007446808510638298,-0.013829787234042556,0.16900709219858154
50,-200,300,300,8000.0,-155.3877551020408,274.40816326530614,270.2755102040816,0.4419377211538465,0.3402364769230775,0.3415924812500006,0.10725352112676056,-0.15528169014084506,10.552042253521128,0.00035211267605633794,-0.01,0.2373943661971831
51,-300,100,300,7333.85,-260.35714285714283,67.77551020408163,255.6734693877551,0.49302507253886013,0.18346579655172424,0.4502146299492387,0.07067669172932331,-0.18293233082706767,10.543684210526315,0.0055639097744360905,-0.007969924812030075,0.035864661654135335
52,-300,200,300,7210.63,-259.8061224489796,169.4387755102041,256.7755102040816,0.5445599243243243,0.2528258876344093,0.46755605612244916,0.10240310077519381,-0.17100775193798448,10.553953488372093,0.0069767441860465115,-0.015348837209302326,0.10953488372093023
53,-300,300,300,5846.41,-256.9655172413793,268.04819277108436,269.3720930232558,0.46472136551724136,0.31880913566433583,0.3159338107142857,0.07657142857142857,-0.14380952380952383,10.567714285714287,0.0038095238095238095,-0.014666666666666666,0.16828571428571426
54,100,-100,100,8000.0,57.292682926829265,-43.61538461538461,52.125,0.303845895555556,0.4314250348837207,0.31594431149425317,0.10359154929577466,-0.1140845070422535,10.572746478873238,0.004859154929577465,-0.01091549295774648,0.029507042253521125
55,100,-200,100,8000.0,60.319148936170215,-154.83673469387756,59.651162790697676,0.2696003336538469,0.4553746490384619,0.2819277509615391,0.11535211267605636,-0.11584507042253521,10.556408450704225,0.005774647887323944,-0.012746478873239438,-0.03549295774647887
56,100,-300,100,8000.0,59.785714285714285,-262.5612244897959,60.252631578947366,0.2624504447115392,0.4543884423076925,0.2512566661764713,0.08126760563380281,-0.12000000000000002,10.56394366197183,0.008098591549295774,-0.00795774647887324,-0.10485915492957744
