,V1_in,V2_in,V3_in,t,V1,V2,V3,I1,I2,I3,ax,ay,az,gx,gy,gz,color
185,-200,300,-300,8000,161.7244898,-269.7244898,-258.75,0.3583578,0.266765095,0.277366679,0.097253521,-0.182323944,10.61084507,0.007887324,-0.003098592,-0.24584507,gray
186,-300,100,-300,8000,259.8061224,-64.35616438,-260.9081633,0.518751103,0.191262896,0.449148128,0.148521127,-0.197253521,10.57957746,0.001408451,-0.011056338,-0.049295775,gray
187,-300,200,-300,7254.34,256.7755102,-168.0967742,-260.6326531,0.529242265,0.206378818,0.418455477,0.131278195,-0.167744361,10.59766917,0.003458647,-0.006466165,-0.115639098,gray
188,-300,300,-300,6589.44,255.5257732,-273.6947368,-263.7439024,0.485244189,0.322821866,0.365467662,0.118151261,-0.200252101,10.59504202,0.008739496,-0.008067227,-0.17789916,gray
189,-100,-100,-100,8000,-63.18556701,-60.37078652,-64.19387755,0.276750226,0.257558114,0.219797613,0.127957746,-0.186760563,10.57725352,0.007394366,-0.00971831,-0.132323944,gray
190,-100,-200,-100,8000,-61.94117647,-140.625,-63.91836735,0.173602197,0.381515726,0.129248553,0.116197183,-0.217253521,10.59042254,0.007394366,-0.010492958,-0.183239437,gray
191,-100,-300,-100,8000,-67.5,-263.1122449,-67.7755102,0.131213924,0.429363756,0.139487061,0.078776978,-0.189568345,10.58294964,0.008561151,-0.011438849,-0.273381295,gray
192,-200,-100,-100,8000,-146.5714286,-63.91836735,-67.2244898,0.464186137,0.135880987,0.116699447,0.120211268,-0.199507042,10.57211268,0.008380282,-0.009225352,-0.197957746,gray
193,-200,-200,-100,8000,-165.5816327,-162.287234,-69.42857143,0.348619063,0.322006229,0.103089994,0.109577465,-0.197746479,10.57978873,0.008529412,-0.007042254,-0.271126761,gray
194,-200,-300,-100,8000,-171.0918367,-261.7346939,-74.93877551,0.257191016,0.44255416,0.093002977,0.077464789,-0.240704225,10.55408451,0.010704225,-0.008943662,-0.332112676,gray
195,-300,-100,-100,8000,-243.5510204,-66.67346939,-66.94897959,0.509669129,0.119875785,0.096608697,0.109366197,-0.203028169,10.56647887,0.009577465,-0.007676056,-0.25471831,gray
196,-300,-200,-100,8000,-252.6428571,-168.0612245,-72.10227273,0.526782183,0.209062352,0.093514262,0.080633803,-0.171408451,10.56443662,0.010070423,-0.007323944,-0.329929577,gray
197,-300,-300,-100,8000,-247.1785714,-253.744898,-70.3255814,0.368252127,0.345469849,0.092924553,0.040422535,-0.234295775,10.56901408,0.011549296,-0.006549296,-0.390211268,gray
198,-100,-100,-200,8000,-64.24137931,-60.37078652,-135.8265306,0.132834647,0.142100785,0.450801207,0.084397163,-0.221205674,10.55021277,0.007375887,-0.007092199,-0.187163121,gray
